username,full_text,clean_text,dominant_topic,topic_label,topic_prob,prob_topik_0,prob_topik_1,prob_topik_2,prob_topik_3,prob_topik_4,prob_topik_5
hi_bibian,"@chells_yaa @ShopeeCare @ShopeeID Samaa bgtt bayangin dr tgl 5, dah 10 hari ga ada update posisi nya dimana, mana brg ny mau di pake buat konseran 😩😩😩😩 https://t.co/T83T3W1TZk",samaa bgtt bayangkan dari tanggal 5 sudah 10 hari tidak_ada pembaruan posisi nya dimana mana brg ny mau di pakai buat konseran,4,Keluhan Status Pelacakan,0.5068003939905334,0.011941334371864181,0.011929038794185626,0.01196029462547608,0.44539250470367847,0.5068003939905334,0.011976433514262157
KONlMEX,cdm skrg @ShopeeCare,chat dm sekarang,2,Pengecekan via Direct Message,0.5382283554634992,0.04166671598932693,0.04166668744413363,0.5382283554634992,0.04200279509297097,0.294690033676934,0.0417454123331352
arlckino,@chells_yaa @ShopeeCare @ShopeeID kak mjb paketnya udah ada pergerakan belum kak? punyaku juga dari tgl 30 ga ada update sampai skrg 🥲,kakak mjb paketnya sudah ada pergerakan belum_kakak punyaku juga dari tanggal 30 tidak_ada pembaruan sampai sekarang,4,Keluhan Status Pelacakan,0.8304201776695029,0.013937771142073008,0.11338559873130001,0.014165263443847224,0.014039226836794101,0.8304201776695029,0.01405196217648283
_trustme14,@Thege0410 @Esteres09785772 @nanaappsprem @ShopeeID @ShopeeCare @ojkindonesia iyaa kak udahh,iyaa kakak udahh,2,Pengecekan via Direct Message,0.580852203325041,0.08333334117772935,0.08467410163814838,0.580852203325041,0.08333649750327324,0.08333333783086651,0.08447051852494153
2leemjen,@ShopeeCare dm ku blm dibales dri kmrn.,dm ku belum_dibalas dari kemarin,4,Keluhan Status Pelacakan,0.6330472674321673,0.033370918177950334,0.03333336000395151,0.2332610421546954,0.03355211763665717,0.6330472674321673,0.03343529459457823
cejen423,@ShopeeCare cdm,chat dm,2,Pengecekan via Direct Message,0.7219825165088435,0.055555573837093745,0.055555563355994805,0.7219825165088435,0.05567868089547547,0.05556640434415389,0.05566126105843859
ShopeeID,"@Roga480 @ShopeeCare Hi kak Rogami,  maaf banget ya udah buat kakak ga nyaman. terkait kendala pesanan yang kakak alami, aku infoin kakak bisa chat aku dgn memberikan username serta memberikan nomor pesanan kakak melalui DM ke Social Media @ShopeeID /@Shopeecare ya. Stay Healthy  ^RL",hi kakak rogami maaf banget ya sudah buat kakak tidak_nyaman terkait kendala pesanan yang kakak alami aku informasikan kakak bisa chat aku dengan memberikan username serta memberikan _n_o_m_o_r_ _p_e_s_a_n_a_n_ kakak _m_e_l_a_l_u_i_ _d_m_ ke social media ya stay healthy rl,5,Penawaran Bantuan Resolusi,0.9760531817786093,0.004788850142928057,0.004786876590029396,0.004797045997642689,0.004802192466416275,0.004771853024374121,0.9760531817786093
KONlMEX,@ShopeeCare cek dm,cek dm,2,Pengecekan via Direct Message,0.7219402745807991,0.05555556209697933,0.055642614332094484,0.7219402745807991,0.055555558721156265,0.055585505758824434,0.05572048451014632
Roga480,Pernah ada yang ngalamin buka shopee food di rumah tiba tiba malah shopee nya lompat jauh banget maps nya? Padahal gak pernah pesen shopee food di daerah itu juga Gimana ni kalo belom mampu jadi super app jangan nyoba nyoba jadi super app lah udah 2x begini @ShopeeID @ShopeeCare https://t.co/WM37ZYxtFr,pernah ada yang mengalami buka shopee food di rumah tiba tiba malah shopee nya lompat jauh banget maps nya padahal tidak_pernah memesan shopee food di daerah itu juga bagaimana ni kalau belum_mampu jadi super app jangan_mencoba mencoba jadi super app lah sudah 2x begini,3,Durasi Pengiriman Barang,0.9678558675223569,0.006421168108028342,0.00641405294179717,0.006443117894835732,0.9678558675223569,0.006437677767419903,0.006428115765561931
ShopeeCare,"@aspriyanti86825 Haii kak aspriyanti86825
Maaf sudah bikin tidak nyaman terkait kendala yang kamu alami. Agar aku bisa bantu cek boleh infoin detail kendala kamu ke DM Social Media kita X/Twitter melalui akun @shopeeID atau @shopeecare. Sehat selalu^ON",haii kakak aspriyanti86825 maaf sudah membuat tidak_nyaman terkait kendala yang kamu alami agar aku bisa bantu cek boleh informasikan detail kendala kamu ke dm social media kita x twitter melalui akun atau _s_e_h_a_t_ _s_e_l_a_l_u_ on,5,Penawaran Bantuan Resolusi,0.9738197250211106,0.005266802100841849,0.005219004634723312,0.005251719041360938,0.0052286585231819714,0.0052140906787813,0.9738197250211106
